State,Total,Retirement,Survivors,Disability,Aged 65 or older,Year,Table_type
New Hampshire,"209,767","149,387","16,796","30,338","78,792",2005,Benefits
New Jersey,"1,411,465","1,042,241","125,308","157,212","527,605",2005,Benefits
New Mexico,"263,797","174,779","26,240","40,877","97,878",2005,Benefits
New York,"2,972,348","2,107,124","267,478","398,776","1,060,511",2005,Benefits
North Carolina,"1,357,374","924,950","113,744","229,319","458,594",2005,Benefits
North Dakota,"98,652","67,510","13,704","9,495","39,319",2005,Benefits
Ohio,"1,815,206","1,224,923","226,613","222,132","681,152",2005,Benefits
Oklahoma,"560,149","373,341","61,200","83,434","199,980",2005,Benefits
Oregon,"582,636","418,884","55,468","71,050","223,543",2005,Benefits
Pennsylvania,"2,299,401","1,610,086","255,642","278,454","847,765",2005,Benefits
Rhode Island,"179,181","128,783","14,373","26,164","64,124",2005,Benefits
South Carolina,"697,058","463,362","61,030","122,319","234,864",2005,Benefits
South Dakota,"120,046","85,217","13,660","12,424","47,843",2005,Benefits
Tennessee,"960,947","626,557","97,344","164,000","325,749",2005,Benefits
Texas,"2,599,736","1,713,807","303,995","355,237","967,025",2005,Benefits
Utah,"251,829","179,136","22,768","27,585","101,158",2005,Benefits
Vermont,"102,177","71,940","9,478","13,990","38,146",2005,Benefits
Virginia,"1,033,994","701,819","99,654","156,802","365,763",2005,Benefits
Washington,"901,609","639,363","83,260","117,207","345,150",2005,Benefits
West Virginia,"367,079","208,225","48,252","78,315","120,050",2005,Benefits
Wisconsin,"908,664","657,574","89,371","103,131","345,227",2005,Benefits
Wyoming,"75,529","53,830","7,466","8,919","30,173",2005,Benefits
Alabama,"920,843","502,502","95,762","178,375","234,255",2006,Beneficiaries
Alaska,"66,906","40,237","5,103","10,211","20,415",2006,Beneficiaries
Arizona,"940,213","617,724","76,392","125,727","297,042",2006,Beneficiaries
Arkansas,"576,997","327,697","55,616","109,118","154,730",2006,Beneficiaries
California,"4,504,672","2,912,853","394,166","570,084","1,431,541",2006,Beneficiaries
Colorado,"600,316","392,178","54,252","75,836","190,459",2006,Beneficiaries
Connecticut,"587,292","408,611","46,686","67,281","183,317",2006,Beneficiaries
Delaware,"153,544","100,779","12,666","21,685","46,103",2006,Beneficiaries
District of Columbia,"71,231","45,919","6,211","10,233","20,497",2006,Beneficiaries
Florida,"3,444,546","2,349,812","286,449","407,268","1,115,243",2006,Beneficiaries
Georgia,"1,269,987","764,680","119,007","205,249","339,909",2006,Beneficiaries
Hawaii,"204,207","146,599","15,640","19,203","67,216",2006,Beneficiaries
Idaho,"233,766","150,186","20,360","31,318","73,814",2006,Beneficiaries
Illinois,"1,906,454","1,238,100","187,450","231,633","574,968",2006,Beneficiaries
Indiana,"1,080,547","683,997","104,580","148,690","311,239",2006,Beneficiaries
Iowa,"555,803","369,639","56,661","61,782","174,392",2006,Beneficiaries
Kansas,"454,919","299,083","43,692","55,542","140,018",2006,Beneficiaries
Kentucky,"812,644","424,678","90,047","167,356","208,525",2006,Beneficiaries
Louisiana,"722,643","371,872","97,808","114,609","195,926",2006,Beneficiaries
Maine,"275,175","167,240","23,709","48,022","79,627",2006,Beneficiaries
Maryland,"778,689","515,455","71,121","94,524","234,810",2006,Beneficiaries
Massachusetts,"1,072,305","695,199","88,505","158,781","317,977",2006,Beneficiaries
Michigan,"1,776,084","1,103,565","171,714","250,351","512,615",2006,Beneficiaries
Minnesota,"801,237","537,792","72,994","94,885","252,419",2006,Beneficiaries
Mississippi,"553,844","296,755","54,735","109,531","135,784",2006,Beneficiaries
Missouri,"1,077,060","663,590","101,208","168,301","307,953",2006,Beneficiaries
Montana,"172,920","111,990","16,752","21,611","55,549",2006,Beneficiaries
Nebraska,"293,935","194,403","28,898","33,915","91,991",2006,Beneficiaries
Nevada,"354,321","240,460","26,259","46,966","118,955",2006,Beneficiaries
New Hampshire,"226,313","148,322","16,603","34,310","67,967",2006,Beneficiaries
New Jersey,"1,381,151","948,401","117,395","158,619","423,629",2006,Beneficiaries
New Mexico,"319,935","192,565","29,785","48,044","96,158",2006,Beneficiaries
New York,"3,075,081","2,001,974","262,721","416,715","903,009",2006,Beneficiaries
North Carolina,"1,550,340","970,774","128,785","261,068","424,368",2006,Beneficiaries
North Dakota,"115,434","73,133","14,578","11,604","37,462",2006,Beneficiaries
Ohio,"1,976,174","1,220,222","226,863","251,748","594,640",2006,Beneficiaries
Oklahoma,"647,067","394,760","66,227","97,042","187,835",2006,Beneficiaries
Oregon,"630,822","424,170","55,384","78,860","199,647",2006,Beneficiaries
Pennsylvania,"2,438,397","1,571,817","250,688","309,778","724,612",2006,Beneficiaries
Rhode Island,"193,099","128,410","14,414","29,721","55,712",2006,Beneficiaries
South Carolina,"801,076","489,743","70,167","135,892","217,209",2006,Beneficiaries
South Dakota,"142,953","94,207","15,042","15,038","46,687",2006,Beneficiaries
Tennessee,"1,115,933","659,946","108,804","190,539","302,511",2006,Beneficiaries
Texas,"3,028,901","1,807,535","330,751","410,912","903,534",2006,Beneficiaries
Utah,"282,158","182,948","22,884","32,274","89,441",2006,Beneficiaries
Vermont,"114,559","73,887","9,867","16,663","34,692",2006,Beneficiaries
Virginia,"1,161,105","725,945","107,679","173,734","334,044",2006,Beneficiaries
Washington,"961,739","631,195","81,793","130,146","301,023",2006,Beneficiaries
West Virginia,"419,477","212,985","52,459","83,143","110,290",2006,Beneficiaries
Wisconsin,"966,818","649,341","87,487","116,190","299,190",2006,Beneficiaries
Wyoming,"82,748","55,007","7,576","9,918","27,033",2006,Beneficiaries
Alabama,"829,345","504,923","86,356","169,700","268,927",2006,Benefits
Alaska,"60,556","40,207","4,718","9,886","22,955",2006,Benefits
Arizona,"923,845","658,668","77,590","127,070","358,232",2006,Benefits
Arkansas,"509,093","320,568","48,995","101,514","171,978",2006,Benefits
California,"4,325,913","3,040,374","397,274","568,019","1,664,337",2006,Benefits
Colorado,"572,275","402,730","54,370","73,843","223,344",2006,Benefits
Connecticut,"623,902","466,733","51,560","68,444","239,931",2006,Benefits
Delaware,"156,827","111,252","13,370","22,273","58,067",2006,Benefits
District of Columbia,"59,989","41,716","5,116","8,913","20,477",2006,Benefits
Florida,"3,333,059","2,443,283","288,358","399,013","1,312,725",2006,Benefits
Georgia,"1,178,611","779,716","109,703","197,933","398,519",2006,Benefits
Hawaii,"197,311","151,357","15,035","19,334","75,782",2006,Benefits
Idaho,"219,561","153,289","20,400","29,900","86,266",2006,Benefits
Illinois,"1,903,902","1,340,463","197,007","232,133","709,086",2006,Benefits
Indiana,"1,082,793","751,534","109,390","145,658","392,139",2006,Benefits
Iowa,"536,138","385,097","57,849","57,921","207,850",2006,Benefits
Kansas,"447,830","319,562","45,470","52,863","171,342",2006,Benefits
Kentucky,"720,189","420,432","80,489","160,212","233,234",2006,Benefits
Louisiana,"628,891","363,002","88,381","111,671","218,818",2006,Benefits
Maine,"244,004","161,752","22,380","43,334","88,283",2006,Benefits
Maryland,"766,978","546,054","71,927","95,224","281,011",2006,Benefits
Massachusetts,"1,041,553","730,983","90,958","153,275","383,667",2006,Benefits
Michigan,"1,821,467","1,243,521","182,502","259,426","657,345",2006,Benefits
Minnesota,"781,321","564,986","74,203","91,879","302,605",2006,Benefits
Mississippi,"475,427","286,499","46,480","100,921","149,453",2006,Benefits
Missouri,"1,013,629","683,041","99,220","160,490","362,857",2006,Benefits
Montana,"159,541","111,411","16,473","20,424","62,703",2006,Benefits
Nebraska,"279,236","199,888","29,316","31,398","108,317",2006,Benefits
Nevada,"349,512","252,809","26,729","48,734","140,196",2006,Benefits
New Hampshire,"224,748","159,671","17,332","33,983","84,402",2006,Benefits
New Jersey,"1,478,656","1,092,872","127,096","169,507","554,087",2006,Benefits
New Mexico,"282,986","188,112","27,073","45,067","105,296",2006,Benefits
New York,"3,109,962","2,205,632","271,175","428,503","1,113,094",2006,Benefits
North Carolina,"1,459,551","997,679","117,798","250,523","497,246",2006,Benefits
North Dakota,"103,624","71,155","13,933","10,505","41,266",2006,Benefits
Ohio,"1,906,564","1,289,097","231,060","241,011","719,308",2006,Benefits
Oklahoma,"595,108","396,122","62,728","92,631","213,346",2006,Benefits
Oregon,"619,944","446,668","57,270","77,577","238,751",2006,Benefits
Pennsylvania,"2,416,233","1,690,363","259,324","306,562","892,261",2006,Benefits
Rhode Island,"186,982","134,157","14,591","28,079","66,936",2006,Benefits
South Carolina,"752,077","503,672","63,666","132,248","256,583",2006,Benefits
South Dakota,"127,535","91,011","14,036","13,508","51,089",2006,Benefits
Tennessee,"1,030,141","673,960","100,247","179,586","352,524",2006,Benefits
Texas,"2,785,617","1,836,926","314,264","397,751","1,041,504",2006,Benefits
Utah,"271,195","192,393","23,764","31,295","108,993",2006,Benefits
Vermont,"108,882","76,802","9,712","15,337","40,928",2006,Benefits
Virginia,"1,102,337","750,337","102,469","171,072","392,125",2006,Benefits
Washington,"964,904","685,382","86,184","129,107","371,009",2006,Benefits
West Virginia,"387,993","219,729","49,480","85,217","127,644",2006,Benefits
Wisconsin,"961,083","696,339","91,164","113,249","366,769",2006,Benefits
Wyoming,"80,096","57,245","7,744","9,646","32,205",2006,Benefits
Alabama,"934,770","511,245","94,203","186,043","239,654",2007,Beneficiaries
Alaska,"68,853","41,850","5,099","10,622","21,395",2007,Beneficiaries
Arizona,"959,520","633,976","76,100","130,036","306,608",2007,Beneficiaries
Arkansas,"588,910","333,546","54,626","115,806","158,583",2007,Beneficiaries
California,"4,571,486","2,966,083","389,026","593,492","1,462,600",2007,Beneficiaries
Colorado,"616,232","404,472","53,909","80,205","196,997",2007,Beneficiaries
Connecticut,"592,533","411,840","45,721","70,584","186,294",2007,Beneficiaries
Delaware,"157,239","103,584","12,530","22,843","47,722",2007,Beneficiaries
District of Columbia,"71,215","45,885","5,974","10,732","20,625",2007,Beneficiaries
Florida,"3,477,190","2,381,491","282,125","418,498","1,135,531",2007,Beneficiaries
Georgia,"1,305,181","792,398","118,629","212,401","354,305",2007,Beneficiaries
Hawaii,"207,992","149,938","15,601","19,938","68,534",2007,Beneficiaries
Idaho,"240,070","154,957","20,325","32,867","76,635",2007,Beneficiaries
Illinois,"1,921,996","1,251,647","183,357","240,685","585,586",2007,Beneficiaries
Indiana,"1,097,739","695,649","103,235","155,901","319,018",2007,Beneficiaries
Iowa,"558,541","373,648","55,430","63,349","176,770",2007,Beneficiaries
Kansas,"457,826","301,888","42,678","57,676","141,787",2007,Beneficiaries
Kentucky,"827,346","433,528","88,722","174,341","214,150",2007,Beneficiaries
Louisiana,"735,263","378,666","96,724","121,444","200,549",2007,Beneficiaries
Maine,"280,342","170,502","23,320","50,499","81,736",2007,Beneficiaries
Maryland,"786,407","523,329","69,426","98,060","239,701",2007,Beneficiaries
Massachusetts,"1,080,847","698,950","86,283","166,198","322,637",2007,Beneficiaries
Michigan,"1,802,700","1,124,614","169,305","260,390","525,409",2007,Beneficiaries
Minnesota,"814,960","549,298","71,622","99,717","258,813",2007,Beneficiaries
Mississippi,"559,344","301,166","53,781","112,598","138,710",2007,Beneficiaries
Missouri,"1,089,782","673,508","99,359","174,559","314,234",2007,Beneficiaries
Montana,"176,539","115,021","16,464","22,705","57,363",2007,Beneficiaries
Nebraska,"295,459","196,387","28,169","34,922","93,195",2007,Beneficiaries
Nevada,"362,534","246,817","26,163","49,006","123,135",2007,Beneficiaries
New Hampshire,"231,819","151,473","16,470","36,482","70,139",2007,Beneficiaries
New Jersey,"1,388,380","955,202","114,947","163,421","429,611",2007,Beneficiaries
New Mexico,"327,219","197,848","29,561","50,689","98,938",2007,Beneficiaries
New York,"3,097,330","2,017,031","257,410","433,321","917,169",2007,Beneficiaries
North Carolina,"1,587,350","998,365","128,304","270,824","439,354",2007,Beneficiaries
North Dakota,"116,418","74,399","14,178","12,060","38,049",2007,Beneficiaries
Ohio,"1,992,152","1,233,794","222,808","261,096","604,989",2007,Beneficiaries
Oklahoma,"657,878","399,475","65,181","103,749","191,256",2007,Beneficiaries
Oregon,"643,251","434,028","54,753","82,612","205,440",2007,Beneficiaries
Pennsylvania,"2,456,196","1,582,886","245,281","324,948","734,621",2007,Beneficiaries
Rhode Island,"193,783","128,522","14,005","30,859","56,255",2007,Beneficiaries
South Carolina,"822,377","507,282","70,106","140,472","226,791",2007,Beneficiaries
South Dakota,"144,993","96,367","14,746","15,645","47,775",2007,Beneficiaries
Tennessee,"1,139,632","676,808","107,686","198,708","312,832",2007,Beneficiaries
Texas,"3,102,890","1,852,323","328,454","439,494","929,824",2007,Beneficiaries
Utah,"290,128","187,950","22,835","34,726","92,448",2007,Beneficiaries
Vermont,"117,296","75,624","9,709","17,733","35,780",2007,Beneficiaries
Virginia,"1,180,114","742,755","106,060","179,229","344,115",2007,Beneficiaries
Washington,"982,948","647,342","81,159","136,709","310,570",2007,Beneficiaries
West Virginia,"424,614","215,536","51,678","86,803","112,440",2007,Beneficiaries
Wisconsin,"980,454","660,364","85,736","121,775","305,575",2007,Beneficiaries
Wyoming,"84,022","56,103","7,400","10,332","27,714",2007,Beneficiaries
Alabama,"871,901","532,154","87,809","181,955","285,678",2007,Benefits
Alaska,"64,509","43,144","4,867","10,566","24,834",2007,Benefits
Arizona,"975,362","698,488","79,750","135,056","382,764",2007,Benefits
Arkansas,"537,711","337,867","49,836","110,838","182,746",2007,Benefits
California,"4,529,307","3,191,576","403,903","606,798","1,753,955",2007,Benefits
Colorado,"608,090","429,354","55,783","80,416","239,323",2007,Benefits
Connecticut,"649,645","485,756","52,166","73,753","251,965",2007,Benefits
Delaware,"166,396","118,396","13,686","24,128","62,337",2007,Benefits
District of Columbia,"62,306","43,307","5,137","9,597","21,395",2007,Benefits
Florida,"3,476,594","2,556,701","293,130","421,410","1,381,394",2007,Benefits
Georgia,"1,255,047","836,664","113,241","210,741","431,139",2007,Benefits
Hawaii,"207,882","159,927","15,519","20,639","79,887",2007,Benefits
Idaho,"232,982","163,321","21,042","32,206","92,674",2007,Benefits
Illinois,"1,979,725","1,397,817","198,576","247,277","745,454",2007,Benefits
Indiana,"1,136,120","789,642","111,490","156,885","415,860",2007,Benefits
Iowa,"556,787","401,932","58,460","60,876","217,940",2007,Benefits
Kansas,"465,619","333,168","45,813","56,410","179,259",2007,Benefits
Kentucky,"757,639","443,799","81,903","171,161","248,398",2007,Benefits
Louisiana,"660,195","381,393","90,179","120,849","231,863",2007,Benefits
